Date,Machine,Units_Produced,Defective_Units,Quality_Rate
2025-03-13,Perceuse a colonne,907,52,94.27
2025-03-13,Presse hydraulique,859,50,94.18
2025-03-13,Presse mecanique,909,51,94.39
2025-03-13,Machine de decoupe laser,867,28,96.77
2025-03-13,Machine de decoupe plasma,813,57,92.99
2025-03-13,Machine de soudage robotisee,839,59,92.97
2025-03-13,Robot assemblage,852,45,94.72
2025-03-13,Machine de moulage par injection,860,27,96.86
2025-03-13,Machine extrusion,840,31,96.31
2025-03-13,Machine de pliage,819,44,94.63
2025-03-13,Machine de polissage,909,37,95.93
2025-03-13,Machine de peinture industrielle,882,78,91.16
2025-03-13,Machine emballage,843,71,91.58
2025-03-13,Etiqueteuse automatique,949,58,93.89
2025-03-13,Convoyeur industriel,998,53,94.69
2025-03-13,Machine de controle qualite par vision,1039,42,95.96
2025-03-13,Machine de palettisation automatique,1085,33,96.96
2025-03-14,Machine CNC,870,65,92.53
2025-03-14,Tour industriel,828,46,94.44
2025-03-14,Fraiseuse industrielle,862,50,94.2
2025-03-14,Perceuse a colonne,890,51,94.27
2025-03-14,Presse hydraulique,881,51,94.21
2025-03-14,Presse mecanique,850,42,95.06
2025-03-14,Machine de decoupe laser,827,35,95.77
2025-03-14,Machine de decoupe plasma,790,62,92.15
2025-03-14,Machine de soudage robotisee,824,48,94.17
2025-03-14,Robot assemblage,823,39,95.26
2025-03-14,Machine de moulage par injection,833,37,95.56
2025-03-14,Machine extrusion,827,30,96.37
2025-03-14,Machine de pliage,835,38,95.45
2025-03-14,Machine de polissage,871,29,96.67
2025-03-14,Machine de peinture industrielle,890,73,91.8
2025-03-14,Machine emballage,958,75,92.17
2025-03-14,Etiqueteuse automatique,978,64,93.46
2025-03-14,Convoyeur industriel,1036,52,94.98
2025-03-14,Machine de controle qualite par vision,1093,40,96.34
2025-03-14,Machine de palettisation automatique,1082,25,97.69
2025-03-15,Machine CNC,834,53,93.65
2025-03-15,Tour industriel,819,43,94.75
2025-03-15,Fraiseuse industrielle,836,52,NaN
2025-03-15,Perceuse a colonne,868,57,93.43
2025-03-15,Presse hydraulique,834,52,93.76
2025-03-15,Presse mecanique,803,39,95.14
2025-03-15,Machine de decoupe laser,821,29,96.47
2025-03-15,Machine de decoupe plasma,762,59,92.26
2025-03-15,Machine de soudage robotisee,764,47,93.85
2025-03-15,Robot assemblage,845,42,95.03
2025-03-15,Machine de moulage par injection,874,41,95.31
2025-03-15,Machine extrusion,819,36,95.6
2025-03-15,Machine de pliage,903,32,96.46
2025-03-15,Machine de polissage,980,41,95.82
2025-03-15,Machine de peinture industrielle,963,81,91.59
2025-03-15,Machine emballage,975,73,92.51
2025-03-15,Etiqueteuse automatique,1050,71,93.24
2025-03-15,Convoyeur industriel,1070,58,94.58
2025-03-15,Machine de controle qualite par vision,1043,44,95.78
2025-03-15,Machine de palettisation automatique,1069,35,96.73
2025-03-16,Machine CNC,820,50,93.9
2025-03-16,Tour industriel,743,44,94.08
2025-03-16,Fraiseuse industrielle,853,47,94.49
2025-03-16,Perceuse a colonne,781,44,94.37
2025-03-16,Presse hydraulique,798,38,95.24
2025-03-16,Presse mecanique,796,42,94.72
2025-03-16,Machine de decoupe laser,851,40,95.3
2025-03-16,Machine de decoupe plasma,852,71,91.67
2025-03-16,Machine de soudage robotisee,945,52,94.5
2025-03-16,Robot assemblage,882,47,94.67
2025-03-16,Machine de moulage par injection,899,48,94.66
2025-03-16,Machine extrusion,876,38,95.66
2025-03-16,Machine de pliage,941,46,95.11
2025-03-16,Machine de polissage,972,47,95.16
2025-03-16,Machine de peinture industrielle,981,87,91.13
2025-03-16,Machine emballage,965,77,92.02
2025-03-16,Etiqueteuse automatique,974,62,93.63
2025-03-16,Convoyeur industriel,974,48,95.07
2025-03-16,Machine de controle qualite par vision,1055,31,97.06
2025-03-16,Machine de palettisation automatique,1006,33,96.72
2025-03-17,Machine CNC,761,50,93.43
2025-03-17,Tour industriel,749,40,94.66
2025-03-17,Fraiseuse industrielle,765,49,93.59
2025-03-17,Perceuse a colonne,800,46,94.25
2025-03-17,Presse hydraulique,839,53,93.68
2025-03-17,Presse mecanique,825,44,94.67
2025-03-17,Machine de decoupe laser,876,34,96.12
2025-03-17,Machine de decoupe plasma,879,68,92.26
2025-03-17,Machine de soudage robotisee,884,53,94.0
2025-03-17,Robot assemblage,922,49,94.69
2025-03-17,Machine de moulage par injection,924,41,95.56
2025-03-17,Machine extrusion,1002,40,96.01
2025-03-17,Machine de pliage,960,43,95.52
2025-03-17,Machine de polissage,931,39,95.81
2025-03-17,Machine de peinture industrielle,953,94,90.14
2025-03-17,Machine emballage,926,70,92.44
2025-03-17,Etiqueteuse automatique,1006,59,94.14
2025-03-17,Convoyeur industriel,1018,50,95.09
2025-03-17,Machine de controle qualite par vision,1019,31,96.96
2025-03-17,Machine de palettisation automatique,997,27,97.29
2025-03-18,Machine CNC,761,45,94.09
2025-03-18,Tour industriel,773,47,93.92
2025-03-18,Fraiseuse industrielle,830,47,94.34
2025-03-18,Perceuse a colonne,849,NaN,94.82
2025-03-18,Presse hydraulique,843,57,93.24
2025-03-18,Presse mecanique,880,50,94.32
2025-03-18,Machine de decoupe laser,892,33,96.3
2025-03-18,Machine de decoupe plasma,946,74,92.18
2025-03-18,Machine de soudage robotisee,914,57,93.76
2025-03-18,Robot assemblage,872,41,95.3
2025-03-18,Machine de moulage par injection,903,40,95.57
2025-03-18,Machine extrusion,882,43,95.12
2025-03-18,Machine de pliage,921,44,95.22
2025-03-18,Machine de polissage,903,43,95.24
2025-03-18,Machine de peinture industrielle,872,81,90.71
2025-03-18,Machine emballage,906,67,92.6
2025-03-18,Etiqueteuse automatique,913,53,94.19
2025-03-18,Convoyeur industriel,931,37,96.03
2025-03-18,Machine de controle qualite par vision,996,36,96.39
2025-03-18,Machine de palettisation automatique,1036,31,97.01
2025-03-19,Machine CNC,807,54,93.31
2025-03-19,Tour industriel,793,50,93.69
2025-03-19,Fraiseuse industrielle,847,61,92.8
2025-03-19,Perceuse a colonne,909,61,93.29
2025-03-19,Presse hydraulique,894,56,93.74
2025-03-19,Presse mecanique,926,50,94.6
2025-03-19,Machine de decoupe laser,925,34,96.32
2025-03-19,Machine de decoupe plasma,872,63,92.78
2025-03-19,Machine de soudage robotisee,838,50,94.03
2025-03-19,Robot assemblage,852,38,95.54
2025-03-19,Machine de moulage par injection,842,36,95.72
2025-03-19,Machine extrusion,862,39,95.48
2025-03-19,Machine de pliage,892,43,95.18
2025-03-19,Machine de polissage,843,39,95.37
2025-03-19,Machine de peinture industrielle,826,75,90.92
2025-03-19,Machine emballage,930,69,92.58
2025-03-19,Etiqueteuse automatique,934,50,94.65
2025-03-19,Convoyeur industriel,950,42,95.58
2025-03-19,Machine de controle qualite par vision,1046,36,96.56
2025-03-19,Machine de palettisation automatique,1074,34,96.83
2025-03-20,Machine CNC,801,50,93.76
2025-03-20,Tour industriel,875,57,93.49
2025-03-20,Fraiseuse industrielle,837,57,93.19
2025-03-20,Perceuse a colonne,850,58,93.18
2025-03-20,Presse hydraulique,914,59,93.54
2025-03-20,Presse mecanique,873,39,95.53
2025-03-20,Machine de decoupe laser,855,35,95.91
2025-03-20,Machine de decoupe plasma,848,53,93.75
2025-03-20,Machine de soudage robotisee,817,45,94.49
2025-03-20,Robot assemblage,791,39,95.07
2025-03-20,Machine de moulage par injection,852,41,95.19
2025-03-20,Machine extrusion,843,42,95.02
2025-03-20,Machine de pliage,864,41,95.25
2025-03-20,Machine de polissage,811,41,94.94
2025-03-20,Machine de peinture industrielle,839,72,91.42
2025-03-20,Machine emballage,886,68,92.33
2025-03-20,Etiqueteuse automatique,998,61,93.89
2025-03-20,Convoyeur industriel,1057,46,95.65
2025-03-20,Machine de controle qualite par vision,1141,39,96.58
2025-03-20,Machine de palettisation automatique,1089,39,96.42
2025-03-21,Machine CNC,899,57,93.66
2025-03-21,Tour industriel,883,59,93.32
2025-03-21,Fraiseuse industrielle,858,56,93.47
2025-03-21,Perceuse a colonne,873,55,93.7
2025-03-21,Presse hydraulique,840,48,94.29
2025-03-21,Presse mecanique,838,41,95.11
2025-03-21,Machine de decoupe laser,840,29,96.55
2025-03-21,Machine de decoupe plasma,797,60,92.47
2025-03-21,Machine de soudage robotisee,820,43,94.76
2025-03-21,Robot assemblage,800,42,94.75
2025-03-21,Machine de moulage par injection,837,49,94.15
2025-03-21,Machine extrusion,861,38,95.59
2025-03-21,Machine de pliage,829,37,95.54
2025-03-21,Machine de polissage,871,39,95.52
2025-03-21,Machine de peinture industrielle,932,88,90.56
2025-03-21,Machine emballage,981,63,93.58
2025-03-21,Etiqueteuse automatique,1008,66,93.45
2025-03-21,Convoyeur industriel,1055,45,95.73
2025-03-21,Machine de controle qualite par vision,1052,46,95.63
2025-03-21,Machine de palettisation automatique,1115,41,96.32
2025-03-22,Machine CNC,808,50,93.81
2025-03-22,Tour industriel,845,52,93.85
2025-03-22,Fraiseuse industrielle,796,52,93.47
2025-03-22,Perceuse a colonne,795,49,93.84
2025-03-22,Presse hydraulique,782,43,94.5
2025-03-22,Presse mecanique,783,37,95.27
2025-03-22,Machine de decoupe laser,753,27,96.41
2025-03-22,Machine de decoupe plasma,851,61,92.83
2025-03-22,Machine de soudage robotisee,832,49,94.11
2025-03-22,Robot assemblage,788,47,94.04
2025-03-22,Machine de moulage par injection,889,41,95.39
2025-03-22,Machine extrusion,894,51,94.3
2025-03-22,Machine de pliage,900,46,94.89
2025-03-22,Machine de polissage,933,40,95.71
2025-03-22,Machine de peinture industrielle,910,84,90.77
2025-03-22,Machine emballage,953,68,92.86
2025-03-22,Etiqueteuse automatique,1047,55,94.75
2025-03-22,Convoyeur industriel,1003,35,96.51
2025-03-22,Machine de controle qualite par vision,1083,44,95.94
2025-03-22,Machine de palettisation automatique,1113,39,96.5
2025-03-23,Machine CNC,778,55,92.93
2025-03-23,Tour industriel,797,52,93.48
2025-03-23,Fraiseuse industrielle,740,52,92.97
2025-03-23,Perceuse a colonne,788,51,93.53
2025-03-23,Presse hydraulique,808,43,94.68
2025-03-23,Presse mecanique,853,39,95.43
2025-03-23,Machine de decoupe laser,852,25,NaN
2025-03-23,Machine de decoupe plasma,842,56,93.35
2025-03-23,Machine de soudage robotisee,823,47,94.29
2025-03-23,Robot assemblage,874,48,94.51
2025-03-23,Machine de moulage par injection,933,45,95.18
2025-03-23,Machine extrusion,938,42,95.52
2025-03-23,Machine de pliage,911,50,94.51
2025-03-23,Machine de polissage,983,48,95.12
2025-03-23,Machine de peinture industrielle,984,84,91.46
2025-03-23,Machine emballage,919,67,92.71
2025-03-23,Etiqueteuse automatique,1002,58,94.21
2025-03-23,Convoyeur industriel,1003,47,95.31
2025-03-23,Machine de controle qualite par vision,969,42,95.67
2025-03-23,Machine de palettisation automatique,1057,38,96.4
2025-03-24,Machine CNC,758,53,93.01
2025-03-24,Tour industriel,745,46,93.83
2025-03-24,Fraiseuse industrielle,824,56,93.2
2025-03-24,Perceuse a colonne,766,56,92.69
2025-03-24,Presse hydraulique,808,49,93.94
2025-03-24,Presse mecanique,836,41,95.1
2025-03-24,Machine de decoupe laser,902,26,97.12
2025-03-24,Machine de decoupe plasma,813,51,93.73
2025-03-24,Machine de soudage robotisee,857,47,94.52
2025-03-24,Robot assemblage,896,48,94.64
2025-03-24,Machine de moulage par injection,960,54,94.38
2025-03-24,Machine extrusion,902,53,94.12
2025-03-24,Machine de pliage,929,53,94.29
2025-03-24,Machine de polissage,915,45,95.08
2025-03-24,Machine de peinture industrielle,924,78,91.56
2025-03-24,Machine emballage,903,59,93.47
2025-03-24,Etiqueteuse automatique,935,47,94.97
2025-03-24,Convoyeur industriel,944,40,95.76
2025-03-24,Machine de controle qualite par vision,999,46,95.4
2025-03-24,Machine de palettisation automatique,1022,45,95.6
2025-03-25,Machine CNC,762,53,93.04
2025-03-25,Tour industriel,754,53,92.97
2025-03-25,Fraiseuse industrielle,822,62,92.46
2025-03-25,Perceuse a colonne,839,58,93.09
2025-03-25,Presse hydraulique,873,51,94.16
2025-03-25,Presse mecanique,875,31,96.46
2025-03-25,Machine de decoupe laser,891,19,97.87
2025-03-25,Machine de decoupe plasma,955,67,92.98
2025-03-25,Machine de soudage robotisee,925,55,94.05
2025-03-25,Robot assemblage,877,43,95.1
2025-03-25,Machine de moulage par injection,850,48,94.35
2025-03-25,Machine extrusion,867,48,94.46
2025-03-25,Machine de pliage,866,48,94.46
2025-03-25,Machine de polissage,877,41,95.32
2025-03-25,Machine de peinture industrielle,NaN,71,91.8
2025-03-25,Machine emballage,909,58,93.62
2025-03-25,Etiqueteuse automatique,894,40,95.53
2025-03-25,Convoyeur industriel,903,37,95.9
2025-03-25,Machine de controle qualite par vision,971,43,95.57
2025-03-25,Machine de palettisation automatique,1036,50,95.17
2025-03-26,Machine CNC,701,54,92.3
2025-03-26,Tour industriel,799,52,93.49
2025-03-26,Fraiseuse industrielle,847,50,94.1
2025-03-26,Perceuse a colonne,845,63,92.54
2025-03-26,Presse hydraulique,874,46,94.74
2025-03-26,Presse mecanique,898,37,95.88
2025-03-26,Machine de decoupe laser,906,28,96.91
2025-03-26,Machine de decoupe plasma,960,73,92.4
2025-03-26,Machine de soudage robotisee,873,45,94.85
2025-03-26,Robot assemblage,836,41,95.1
2025-03-26,Machine de moulage par injection,846,38,95.51
2025-03-26,Machine extrusion,848,59,93.04
2025-03-26,Machine de pliage,867,46,94.69
2025-03-26,Machine de polissage,892,40,95.52
2025-03-26,Machine de peinture industrielle,860,61,92.91
2025-03-26,Machine emballage,893,54,93.95
2025-03-26,Etiqueteuse automatique,904,43,95.24
2025-03-26,Convoyeur industriel,978,35,96.42
2025-03-26,Machine de controle qualite par vision,1012,42,95.85
2025-03-26,Machine de palettisation automatique,1069,49,95.42
2025-03-27,Machine CNC,819,60,92.67
2025-03-27,Tour industriel,827,56,93.23
2025-03-27,Fraiseuse industrielle,933,66,92.93
2025-03-27,Perceuse a colonne,847,58,93.15
2025-03-27,Presse hydraulique,825,51,93.82
2025-03-27,Presse mecanique,833,30,96.4
2025-03-27,Machine de decoupe laser,902,25,97.23
2025-03-27,Machine de decoupe plasma,848,58,93.16
2025-03-27,Machine de soudage robotisee,865,45,94.8
2025-03-27,Robot assemblage,804,44,94.53
2025-03-27,Machine de moulage par injection,819,51,93.77
2025-03-27,Machine extrusion,834,50,94.0
2025-03-27,Machine de pliage,880,NaN,94.55
2025-03-27,Machine de polissage,865,33,96.18
2025-03-27,Machine de peinture industrielle,881,70,92.05
2025-03-27,Machine emballage,948,65,93.14
2025-03-27,Etiqueteuse automatique,975,47,95.18
2025-03-27,Convoyeur industriel,1082,41,96.21
2025-03-27,Machine de controle qualite par vision,1074,45,95.81
2025-03-27,Machine de palettisation automatique,1104,38,96.56
2025-03-28,Machine CNC,862,60,93.04
2025-03-28,Tour industriel,831,65,92.18
2025-03-28,Fraiseuse industrielle,862,64,92.58
2025-03-28,Perceuse a colonne,853,58,93.2
2025-03-28,Presse hydraulique,861,43,95.01
2025-03-28,Presse mecanique,815,34,95.83
2025-03-28,Machine de decoupe laser,826,20,97.58
2025-03-28,Machine de decoupe plasma,803,52,93.52
2025-03-28,Machine de soudage robotisee,811,42,94.82
2025-03-28,Robot assemblage,794,45,94.33
2025-03-28,Machine de moulage par injection,835,42,94.97
2025-03-28,Machine extrusion,830,46,94.46
2025-03-28,Machine de pliage,882,39,95.58
2025-03-28,Machine de polissage,881,40,95.46
2025-03-28,Machine de peinture industrielle,941,78,91.71
2025-03-28,Machine emballage,934,57,93.9
2025-03-28,Etiqueteuse automatique,1002,45,95.51
2025-03-28,Convoyeur industriel,1068,44,95.88
2025-03-28,Machine de controle qualite par vision,1104,46,95.83
2025-03-28,Machine de palettisation automatique,1156,56,95.16
2025-03-29,Machine CNC,798,60,92.48
2025-03-29,Tour industriel,855,63,92.63
2025-03-29,Fraiseuse industrielle,829,48,94.21
2025-03-29,Perceuse a colonne,772,47,93.91
2025-03-29,Presse hydraulique,805,46,94.29
2025-03-29,Presse mecanique,780,31,96.03
2025-03-29,Machine de decoupe laser,784,20,97.45
2025-03-29,Machine de decoupe plasma,802,51,93.64
2025-03-29,Machine de soudage robotisee,818,48,94.13
2025-03-29,Robot assemblage,796,50,93.72
2025-03-29,Machine de moulage par injection,851,47,94.48
2025-03-29,Machine extrusion,882,54,93.88
2025-03-29,Machine de pliage,906,48,94.7
2025-03-29,Machine de polissage,947,37,96.09
2025-03-29,Machine de peinture industrielle,998,71,92.89
2025-03-29,Machine emballage,951,65,93.17
2025-03-29,Etiqueteuse automatique,1075,43,96.0
2025-03-29,Convoyeur industriel,1028,50,95.14
2025-03-29,Machine de controle qualite par vision,1032,46,95.54
2025-03-29,Machine de palettisation automatique,1099,47,95.72
2025-03-30,Machine CNC,741,57,92.31
2025-03-30,Tour industriel,802,53,93.39
2025-03-30,Fraiseuse industrielle,750,58,92.27
2025-03-30,Perceuse a colonne,813,53,93.48
2025-03-30,Presse hydraulique,751,42,94.41
2025-03-30,Presse mecanique,783,38,95.15
2025-03-30,Machine de decoupe laser,818,24,NaN
2025-03-30,Machine de decoupe plasma,796,45,94.35
2025-03-30,Machine de soudage robotisee,831,51,93.86
2025-03-30,Robot assemblage,863,57,93.4
2025-03-30,Machine de moulage par injection,902,47,94.79
2025-03-30,Machine extrusion,899,50,94.44
2025-03-30,Machine de pliage,882,48,94.56
2025-03-30,Machine de polissage,914,36,96.06
2025-03-30,Machine de peinture industrielle,944,65,93.11
2025-03-30,Machine emballage,963,56,94.18
2025-03-30,Etiqueteuse automatique,987,48,95.14
2025-03-30,Convoyeur industriel,1000,52,94.8
2025-03-30,Machine de controle qualite par vision,1024,43,95.8
2025-03-30,Machine de palettisation automatique,1007,44,95.63
2025-03-31,Machine CNC,767,56,92.7
2025-03-31,Tour industriel,700,54,92.29
2025-03-31,Fraiseuse industrielle,791,55,93.05
2025-03-31,Perceuse a colonne,752,45,94.02
2025-03-31,Presse hydraulique,820,39,95.24
2025-03-31,Presse mecanique,833,31,96.28
2025-03-31,Machine de decoupe laser,826,14,NaN
2025-03-31,Machine de decoupe plasma,848,56,93.4
2025-03-31,Machine de soudage robotisee,897,50,94.43
2025-03-31,Robot assemblage,873,54,93.81
2025-03-31,Machine de moulage par injection,915,65,92.9
2025-03-31,Machine extrusion,948,63,93.35
2025-03-31,Machine de pliage,926,48,94.82
2025-03-31,Machine de polissage,878,31,96.47
2025-03-31,Machine de peinture industrielle,926,75,91.9
2025-03-31,Machine emballage,961,58,93.96
2025-03-31,Etiqueteuse automatique,946,47,95.03
2025-03-31,Convoyeur industriel,1005,38,96.22
2025-03-31,Machine de controle qualite par vision,1037,55,94.7
2025-03-31,Machine de palettisation automatique,1031,47,95.44
2025-04-01,Machine CNC,749,54,92.79
2025-04-01,Tour industriel,835,57,93.17
2025-04-01,Fraiseuse industrielle,796,57,92.84
2025-04-01,Perceuse a colonne,864,57,93.4
2025-04-01,Presse hydraulique,839,38,95.47
2025-04-01,Presse mecanique,878,32,96.36
2025-04-01,Machine de decoupe laser,848,16,98.11
2025-04-01,Machine de decoupe plasma,849,54,93.64
2025-04-01,Machine de soudage robotisee,870,64,92.64
2025-04-01,Robot assemblage,883,54,93.88
2025-04-01,Machine de moulage par injection,861,55,93.61
2025-04-01,Machine extrusion,906,52,94.26
2025-04-01,Machine de pliage,864,40,95.37
2025-04-01,Machine de polissage,842,37,95.61
2025-04-01,Machine de peinture industrielle,854,59,93.09
2025-04-01,Machine emballage,893,54,93.95
2025-04-01,Etiqueteuse automatique,937,56,94.02
2025-04-01,Convoyeur industriel,NaN,39,96.0
2025-04-01,Machine de controle qualite par vision,988,48,95.14
2025-04-01,Machine de palettisation automatique,1050,53,94.95
2025-04-02,Machine CNC,799,63,92.12
2025-04-02,Tour industriel,832,65,92.19
2025-04-02,Fraiseuse industrielle,883,68,92.3
2025-04-02,Perceuse a colonne,864,54,93.75
2025-04-02,Presse hydraulique,881,39,95.57
2025-04-02,Presse mecanique,881,26,97.05
2025-04-02,Machine de decoupe laser,872,19,97.82
2025-04-02,Machine de decoupe plasma,891,54,93.94
2025-04-02,Machine de soudage robotisee,908,58,93.61
2025-04-02,Robot assemblage,903,55,93.91
2025-04-02,Machine de moulage par injection,820,57,93.05
2025-04-02,Machine extrusion,860,51,94.07
2025-04-02,Machine de pliage,807,41,94.92
2025-04-02,Machine de polissage,839,31,96.31
2025-04-02,Machine de peinture industrielle,891,63,92.93
2025-04-02,Machine emballage,917,55,94.0
2025-04-02,Etiqueteuse automatique,984,41,95.83
2025-04-02,Convoyeur industriel,966,49,94.93
2025-04-02,Machine de controle qualite par vision,997,42,95.79
2025-04-02,Machine de palettisation automatique,1108,58,94.77
2025-04-03,Machine CNC,842,64,92.4
2025-04-03,Tour industriel,848,72,91.51
2025-04-03,Fraiseuse industrielle,848,69,91.86
2025-04-03,Perceuse a colonne,843,57,93.24
2025-04-03,Presse hydraulique,868,42,95.16
2025-04-03,Presse mecanique,815,27,96.69
2025-04-03,Machine de decoupe laser,850,11,98.71
2025-04-03,Machine de decoupe plasma,805,48,94.04
2025-04-03,Machine de soudage robotisee,786,46,94.15
2025-04-03,Robot assemblage,778,50,93.57
2025-04-03,Machine de moulage par injection,841,51,93.94
2025-04-03,Machine extrusion,869,58,93.33
2025-04-03,Machine de pliage,805,38,95.28
2025-04-03,Machine de polissage,886,28,96.84
2025-04-03,Machine de peinture industrielle,903,53,94.13
2025-04-03,Machine emballage,959,57,94.06
2025-04-03,Etiqueteuse automatique,974,56,94.25
2025-04-03,Convoyeur industriel,1035,52,94.98
2025-04-03,Machine de controle qualite par vision,1054,51,95.16
2025-04-03,Machine de palettisation automatique,1145,65,94.32
2025-04-04,Machine CNC,820,62,92.44
2025-04-04,Tour industriel,824,62,92.48
2025-04-04,Fraiseuse industrielle,834,63,92.45
2025-04-04,Perceuse a colonne,859,53,93.83
2025-04-04,Presse hydraulique,810,40,95.06
2025-04-04,Presse mecanique,769,22,97.14
2025-04-04,Machine de decoupe laser,832,20,97.6
2025-04-04,Machine de decoupe plasma,819,49,94.02
2025-04-04,Machine de soudage robotisee,806,48,94.04
2025-04-04,Robot assemblage,822,57,93.07
2025-04-04,Machine de moulage par injection,810,48,94.07
2025-04-04,Machine extrusion,840,54,93.57
2025-04-04,Machine de pliage,868,37,95.74
2025-04-04,Machine de polissage,894,27,96.98
2025-04-04,Machine de peinture industrielle,952,54,94.33
2025-04-04,Machine emballage,903,51,94.35
2025-04-04,Etiqueteuse automatique,990,56,94.34
2025-04-04,Convoyeur industriel,1059,51,95.18
2025-04-04,Machine de controle qualite par vision,1093,62,94.33
2025-04-04,Machine de palettisation automatique,1165,60,94.85
2025-04-05,Machine CNC,790,62,92.15
2025-04-05,Tour industriel,769,57,92.59
2025-04-05,Fraiseuse industrielle,814,65,92.01
2025-04-05,Perceuse a colonne,849,53,93.76
2025-04-05,Presse hydraulique,796,27,96.61
2025-04-05,Presse mecanique,793,25,96.85
2025-04-05,Machine de decoupe laser,811,19,97.66
2025-04-05,Machine de decoupe plasma,779,50,93.58
2025-04-05,Machine de soudage robotisee,782,55,92.97
2025-04-05,Robot assemblage,791,52,93.43
2025-04-05,Machine de moulage par injection,816,65,NaN
2025-04-05,Machine extrusion,917,50,94.55
2025-04-05,Machine de pliage,892,34,96.19
2025-04-05,Machine de polissage,930,28,96.99
2025-04-05,Machine de peinture industrielle,972,64,93.42
2025-04-05,Machine emballage,997,51,94.88
2025-04-05,Etiqueteuse automatique,1009,47,95.34
2025-04-05,Convoyeur industriel,1035,55,94.69
2025-04-05,Machine de controle qualite par vision,1124,58,94.84
2025-04-05,Machine de palettisation automatique,1088,53,95.13
2025-04-06,Machine CNC,734,64,91.28
2025-04-06,Tour industriel,784,63,91.96
2025-04-06,Fraiseuse industrielle,750,57,92.4
2025-04-06,Perceuse a colonne,826,43,94.79
2025-04-06,Presse hydraulique,832,42,94.95
2025-04-06,Presse mecanique,799,22,97.25
2025-04-06,Machine de decoupe laser,770,18,97.66
2025-04-06,Machine de decoupe plasma,741,50,93.25
2025-04-06,Machine de soudage robotisee,827,56,93.23
2025-04-06,Robot assemblage,819,61,92.55
2025-04-06,Machine de moulage par injection,906,61,93.27
2025-04-06,Machine extrusion,889,56,93.7
2025-04-06,Machine de pliage,894,39,95.64
2025-04-06,Machine de polissage,896,26,97.1
2025-04-06,Machine de peinture industrielle,972,65,93.31
2025-04-06,Machine emballage,980,54,94.49
2025-04-06,Etiqueteuse automatique,1001,43,95.7
2025-04-06,Convoyeur industriel,1015,53,94.78
2025-04-06,Machine de controle qualite par vision,1054,57,94.59
2025-04-06,Machine de palettisation automatique,1065,58,94.55
2025-04-07,Machine CNC,769,58,92.46
2025-04-07,Tour industriel,763,66,91.35
2025-04-07,Fraiseuse industrielle,797,55,93.1
2025-04-07,Perceuse a colonne,814,47,94.23
2025-04-07,Presse hydraulique,872,43,95.07
2025-04-07,Presse mecanique,870,23,97.36
2025-04-07,Machine de decoupe laser,864,11,98.73
2025-04-07,Machine de decoupe plasma,857,63,92.65
2025-04-07,Machine de soudage robotisee,819,57,93.04
2025-04-07,Robot assemblage,924,60,93.51
2025-04-07,Machine de moulage par injection,843,57,93.24
2025-04-07,Machine extrusion,909,59,93.51
2025-04-07,Machine de pliage,896,37,95.87
2025-04-07,Machine de polissage,995,25,97.49
2025-04-07,Machine de peinture industrielle,916,61,93.34
2025-04-07,Machine emballage,959,61,93.64
2025-04-07,Etiqueteuse automatique,1006,58,94.23
2025-04-07,Convoyeur industriel,977,52,94.68
2025-04-07,Machine de controle qualite par vision,984,50,94.92
2025-04-07,Machine de palettisation automatique,1023,41,95.99
2025-04-08,Machine CNC,742,67,90.97
2025-04-08,Tour industriel,776,64,91.75
2025-04-08,Fraiseuse industrielle,789,54,93.16
2025-04-08,Perceuse a colonne,803,54,93.28
2025-04-08,Presse hydraulique,834,37,95.56
2025-04-08,Presse mecanique,862,28,96.75
2025-04-08,Machine de decoupe laser,882,15,98.3
2025-04-08,Machine de decoupe plasma,893,67,92.5
2025-04-08,Machine de soudage robotisee,831,58,93.02
2025-04-08,Robot assemblage,935,72,92.3
2025-04-08,Machine de moulage par injection,830,56,93.25
2025-04-08,Machine extrusion,898,57,93.65
2025-04-08,Machine de pliage,910,44,95.16
2025-04-08,Machine de polissage,850,29,96.59
2025-04-08,Machine de peinture industrielle,923,61,93.39
2025-04-08,Machine emballage,988,46,95.34
2025-04-08,Etiqueteuse automatique,989,54,94.54
2025-04-08,Convoyeur industriel,951,57,94.01
2025-04-08,Machine de controle qualite par vision,983,53,94.61
2025-04-08,Machine de palettisation automatique,1069,55,94.86
2025-04-09,Machine CNC,820,70,91.46
2025-04-09,Tour industriel,853,71,91.68
2025-04-09,Fraiseuse industrielle,907,65,92.83
2025-04-09,Perceuse a colonne,848,51,93.99
2025-04-09,Presse hydraulique,888,37,95.83
2025-04-09,Presse mecanique,918,32,96.51
2025-04-09,Machine de decoupe laser,931,9,99.03
2025-04-09,Machine de decoupe plasma,850,57,93.29
2025-04-09,Machine de soudage robotisee,861,62,92.8
2025-04-09,Robot assemblage,852,62,92.72
2025-04-09,Machine de moulage par injection,822,54,93.43
2025-04-09,Machine extrusion,805,49,93.91
2025-04-09,Machine de pliage,844,37,95.62
2025-04-09,Machine de polissage,858,23,97.32
2025-04-09,Machine de peinture industrielle,871,62,92.88
2025-04-09,Machine emballage,888,48,94.59
2025-04-09,Etiqueteuse automatique,957,53,94.46
2025-04-09,Convoyeur industriel,1019,49,95.19
2025-04-09,Machine de controle qualite par vision,1060,65,93.87
2025-04-09,Machine de palettisation automatique,1140,69,93.95
2025-04-10,Machine CNC,848,78,90.8
